,userId,Reputation,Views,UpVotes,DownVotes,postId,Score,ViewCount,CommentCount,Outlier
11248,919,87393,20932,11273,779,1655,6,,0,Reputation
11249,919,87393,20932,11273,779,1657,4,,0,Reputation
11250,919,87393,20932,11273,779,1659,2,,1,Reputation
11251,919,87393,20932,11273,779,1666,4,,0,Reputation
11252,919,87393,20932,11273,779,1718,7,,1,Reputation
11253,919,87393,20932,11273,779,1781,16,980.0,7,Reputation
11254,919,87393,20932,11273,779,1784,9,,0,Reputation
11255,919,87393,20932,11273,779,1795,18,,2,Reputation
11256,919,87393,20932,11273,779,1800,3,,0,Reputation
11257,919,87393,20932,11273,779,1801,7,,0,Reputation
11258,919,87393,20932,11273,779,1802,4,,0,Reputation
11259,919,87393,20932,11273,779,1804,1,,2,Reputation
11260,919,87393,20932,11273,779,1836,18,,7,Reputation
11261,919,87393,20932,11273,779,1837,4,,2,Reputation
11262,919,87393,20932,11273,779,1901,5,,1,Reputation
11263,919,87393,20932,11273,779,1903,6,,1,Reputation
11264,919,87393,20932,11273,779,1911,6,,0,Reputation
11265,919,87393,20932,11273,779,1916,3,,2,Reputation
11266,919,87393,20932,11273,779,1931,8,,6,Reputation
11267,919,87393,20932,11273,779,1934,1,,1,Reputation
11268,919,87393,20932,11273,779,1957,6,,1,Reputation
11269,919,87393,20932,11273,779,1959,3,,3,Reputation
11270,919,87393,20932,11273,779,1963,13,802.0,7,Reputation
11271,919,87393,20932,11273,779,1967,2,,0,Reputation
11272,919,87393,20932,11273,779,1986,0,,1,Reputation
11273,919,87393,20932,11273,779,2034,1,,5,Reputation
11274,919,87393,20932,11273,779,2045,2,,0,Reputation
11275,919,87393,20932,11273,779,2057,4,,2,Reputation
11276,919,87393,20932,11273,779,2058,11,,0,Reputation
11277,919,87393,20932,11273,779,2074,8,,1,Reputation
11278,919,87393,20932,11273,779,2080,11,,0,Reputation
11279,919,87393,20932,11273,779,2081,2,,1,Reputation
11280,919,87393,20932,11273,779,2102,2,,2,Reputation
11281,919,87393,20932,11273,779,2103,3,,6,Reputation
11282,919,87393,20932,11273,779,2145,6,,3,Reputation
11283,919,87393,20932,11273,779,2147,13,,2,Reputation
11284,919,87393,20932,11273,779,2224,4,,5,Reputation
11285,919,87393,20932,11273,779,2253,3,,2,Reputation
11286,919,87393,20932,11273,779,2277,1,,4,Reputation
11287,919,87393,20932,11273,779,2279,1,,1,Reputation
11288,919,87393,20932,11273,779,2284,7,,1,Reputation
